 repeat,,,maxVertex, timeTaken,,,,,
2,,,2600,977,1080.35,134.1610482,,,
3,,,2600,1096,1085.6,131.9399385,,,
4,,,2600,1030,1105.7,161.0230778,,,
5,,,2600,1015,1135.35,196.9406202,,,
6,,,2600,988,1141.05,194.9133343,,,
7,,,2600,983,1144.6,192.6120726,,,
8,,,2600,997,1148.65,189.8673429,,,
9,,,2600,1354,1158.95,186.7699049,,,
10,,,2600,1001,1148.55,181.0404069,,,
11,,,2600,1092,1155.8,177.6929937,,,
12,,,2600,1213,1181.25,202.7572765,,,
13,,,2600,1011,1198.55,219.6649302,,,
14,,,2600,1028,1208.3,215.1841561,,,
15,,,2600,1078,1217.7,210.9582398,,,
16,,,2600,1326,1214.7,213.4612254,,,
17,,,2600,1003,1199.75,215.7144494,,,
18,,,2600,997,1202.35,213.5204354,,,
19,,,2600,1409,1208.5,209.0183825,,,
20,,,2600,1000,1227.85,243.6080275,,,
1,,,2700,1009,1231.85,240.3042534,,,
2,,,2700,1082,1237,236.348093,,,
3,,,2700,1498,1241.75,234.0121173,,,
4,,,2700,1623,1244.25,237.1399487,,,
5,,,2700,1129,1225.6,219.8201178,,,
6,,,2700,1059,1226.4,219.4789044,,,
7,,,2700,1064,1228.1,218.2422363,,,
8,,,2700,1203,1234.9,214.954071,,,
9,,,2700,1146,1228.9,217.5504539,,,
10,,,2700,1146,1225.5,219.4374386,,,
11,,,2700,1601,1223.25,220.5235099,,,
12,,,2700,1559,1214.2,207.5368325,,,
13,,,2700,1206,1192.3,191.7462962,,,
14,,,2700,1216,1185.4,193.7003655,,,
15,,,2700,1018,1479.65,1337.21239,,,
16,,,2700,1027,1482.95,1336.09413,,,
17,,,2700,1055,1486.55,1334.897413,,,
18,,,2700,1120,1489.6,1333.928839,,,
19,,,2700,1796,1491,1333.535151,,,
20,,,2700,1080,1455.85,1334.337457,,,
1,,,2800,1112,1455.05,1334.579432,,,
2,,,2800,1177,1455.3,1334.512255,,,
3,,,2800,1548,1452.75,1335.120609,,,
4,,,2800,1250,1438.2,1335.613504,,,
5,,,2800,1145,1433.3,1336.519758,,,
6,,,2800,1093,1433.15,1336.553985,,,
7,,,2800,1200,1444.75,1334.451548,,,
8,,,2800,1083,1441.9,1335.062502,,,
9,,,2800,1078,1443.25,1334.694086,,,
10,,,2800,1101,1443.85,1334.523935,,,
11,,,2800,1420,1445.95,1333.988972,,,
12,,,2800,1121,1435.25,1335.065891,,,
13,,,2800,1068,1434.45,1335.268886,,,
14,,,2800,7101,1437.45,1334.469399,,,
15,,,2800,1084,1138.45,61.42387244,,,
16,,,2800,1099,1141.1,60.07968393,,,
17,,,2800,1116,1141.5,59.81066618,,,
18,,,2800,1148,1147.6,63.19843436,,,
19,,,2800,1093,1145.55,63.84642347,,,
20,,,2800,1064,1150.35,63.29402982,,,
1,,,2900,1117,1153.15,60.44769379,,,
2,,,2900,1126,1164.5,73.25693788,,,
3,,,2900,1257,1167.15,72.74777985,,,
4,,,2900,1152,1170.4,78.21925998,,,
5,,,2900,1142,1176,80.79929651,,,
6,,,2900,1325,1177.95,80.40520735,,,
7,,,2900,1143,1175.45,76.26303167,,,
8,,,2900,1110,1203.85,141.4463912,,,
9,,,2900,1090,1209.7,139.7701497,,,
10,,,2900,1143,1221.85,139.3784228,,,
11,,,2900,1206,1237.6,147.5570898,,,
12,,,2900,1105,1244.85,149.4725023,,,
13,,,2900,1128,1255.55,146.5657657,,,
14,,,2900,1121,1259.75,143.8975787,,,
15,,,2900,1137,1264.9,140.4728481,,,
16,,,2900,1107,1287.6,154.6807919,,,
17,,,2900,1238,1292.85,149.9376274,,,
18,,,2900,1107,1293.8,149.6316882,,,
19,,,2900,1189,1299.5,144.2145697,,,
20,,,2900,1120,1321.5,159.2480686,,,
1,,,3000,1344,1325.85,154.5738709,,,
2,,,3000,1179,1342.65,173.7233963,,,
3,,,3000,1322,1361.25,175.1879817,,,
4,,,3000,1264,1362.7,174.9658914,,,
5,,,3000,1181,1361.2,175.9822359,,,
6,,,3000,1275,1372.05,170.9036278,,,
7,,,3000,1711,1375.3,169.5738001,,,
8,,,3000,1227,1355.2,150.4329191,,,
9,,,3000,1333,1358.7,148.089269,,,
10,,,3000,1458,1353,151.2898925,,,
11,,,3000,1351,1343.25,150.4480589,,,
12,,,3000,1319,1339.9,151.0112927,,,
13,,,3000,1212,1335.15,153.1817891,,,
14,,,3000,1224,1339.65,150.6750687,,,
15,,,3000,1591,1341.15,149.6087089,,,
16,,,3000,1212,1323.9,138.7822604,,,
17,,,3000,1257,1327.2,136.7512532,,,
18,,,3000,1221,1338.15,139.5731368,,,
19,,,3000,1629,1340.35,137.9669201,,,
20,,,3000,1207,1325.35,120.0816718,,,
1,,,3100,1680,1325.1,120.3459487,,,
2,,,3100,1551,1304.95,86.88133165,,,
3,,,3100,1351,1296.55,67.88494523,,,
4,,,3100,1234,1325.75,158.1404689,,,
5,,,3100,1398,1332,156.7878218,,,
6,,,3100,1340,1330.45,156.2533284,,,
7,,,3100,1309,1330.3,156.2451178,,,
8,,,3100,1297,1330.95,156.1788701,,,
9,,,3100,1219,1334.2,156.1114986,,,
10,,,3100,1263,1342.05,153.9461543,,,
11,,,3100,1284,1345.15,152.8911808,,,
12,,,3100,1224,1353.95,154.2453531,,,
13,,,3100,1302,1370.95,157.8631903,,,
14,,,3100,1254,1376.55,157.2739732,,,
15,,,3100,1246,1399.55,171.4091673,,,
16,,,3100,1278,1400.95,170.1991017,,,
17,,,3100,1476,1401.3,169.9399584,,,
18,,,3100,1265,1407.95,175.5273183,,,
19,,,3100,1329,1409.55,174.297228,,,
20,,,3100,1202,1405.35,177.3261268,,,
1,,,3200,1277,1412.95,171.3071956,,,
2,,,3200,1383,1414.55,170.115897,,,
3,,,3200,1935,1411.3,171.3666737,,,
4,,,3200,1359,1405.15,152.7823615,,,
5,,,3200,1367,1403.1,153.706453,,,
6,,,3200,1337,1404.6,153.481835,,,
7,,,3200,1322,1404.1,153.7297355,,,
8,,,3200,1362,1408.55,152.5114232,,,
9,,,3200,1376,1417.1,154.5441174,,,
10,,,3200,1325,1420.45,154.3323396,,,
11,,,3200,1460,1420.25,154.4650787,,,
12,,,3200,1564,1413.05,155.8644739,,,
13,,,3200,1414,1412.05,154.906245,,,
14,,,3200,1714,1409.1,155.4280676,,,
15,,,3200,1274,1395.65,138.3562431,,,
16,,,3200,1285,1397.9,136.628925,,,
17,,,3200,1609,1404.75,134.0812303,,,
18,,,3200,1297,1391.9,125.5178327,,,
19,,,3200,1245,1393.45,124.4712924,,,
20,,,3200,1354,1395.55,122.1679065,,,
1,,,3300,1309,1402.35,123.5110372,,,
2,,,3300,1318,1411.4,122.9408929,,,
3,,,3300,1812,1425.85,128.2543833,,,
4,,,3300,1318,1434.35,157.4936172,,,
5,,,3300,1397,1437.75,155.5719076,,,
6,,,3300,1327,1436.65,155.9525147,,,
7,,,3300,1411,1453.5,161.5857276,,,
8,,,3300,1533,1454.5,161.3706097,,,
9,,,3300,1443,1463.3,170.4217987,,,
10,,,3300,1321,1467.25,170.8415317,,,
11,,,3300,1316,1475.85,167.3861829,,,
12,,,3300,1544,1483.9,163.1108438,,,
13,,,3300,1355,1508.85,205.4556618,,,
14,,,3300,1445,1510.65,204.1906423,,,
15,,,3300,1319,1506.45,206.4633203,,,
16,,,3300,1422,1520.55,202.5808416,,,
17,,,3300,1352,1518.45,203.869792,,,
18,,,3300,1328,1518.3,203.9997678,,,
19,,,3300,1287,1529.35,199.0753031,,,
20,,,3300,1490,1536.1,192.6092035,,,
1,,,3400,1490,1545.6,194.88793,,,
2,,,3400,1607,1541.65,196.8647078,,,
3,,,3400,1982,1540.5,196.529762,,,
4,,,3400,1386,1513.75,167.5463408,,,
5,,,3400,1375,1523.45,165.362592,,,
6,,,3400,1664,1525.85,163.4317095,,,
7,,,3400,1431,1515.5,160.7549623,,,
8,,,3400,1709,1546,197.5382708,,,
9,,,3400,1522,1535.15,194.0426635,,,
10,,,3400,1493,1539.2,194.5982636,,,
11,,,3400,1477,1545.45,195.0431734,,,
12,,,3400,2043,1550.7,194.5161609,,,
13,,,3400,1391,1546.85,184.7776117,,,
14,,,3400,1361,1555.7,181.1228429,,,
15,,,3400,1601,1556.6,180.1465485,,,
16,,,3400,1380,1568.35,190.5579826,,,
17,,,3400,1349,1573.6,186.4988782,,,
18,,,3400,1549,1677.6,449.3620507,,,
19,,,3400,1422,1677.75,449.3173623,,,
20,,,3400,1680,1680,448.0802325,,,
1,,,3500,1411,1667.55,451.5262393,,,
2,,,3500,1584,1672.05,449.2777215,,,
3,,,3500,1447,1672.75,449.1442009,,,
4,,,3500,1580,1674.1,448.4700189,,,
5,,,3500,1423,1669.55,449.9342028,,,
6,,,3500,1457,1680.45,446.2726892,,,
7,,,3500,2041,1696.15,443.512686,,,
8,,,3500,1492,1671.45,437.0046941,,,
9,,,3500,1603,1670.95,437.2264829,,,
10,,,3500,1618,1673.4,436.9628914,,,
11,,,3500,1582,1669.05,437.9753027,,,
12,,,3500,1966,1668.1,438.1946095,,,
13,,,3500,1568,1642.05,435.0277033,,,
14,,,3500,1379,1639.4,435.6634867,,,
15,,,3500,1836,1653,431.3307438,,,
16,,,3500,1485,1634.75,430.9018541,,,
17,,,3500,3429,1638.65,429.8268042,,,
18,,,3500,1552,1554.4,95.71195823,,,
19,,,3500,1467,1564.4,105.4051831,,,
20,,,3500,1431,1565.25,104.6441967,,,
1,,,3600,1501,1565.85,103.8654367,,,
2,,,3600,1598,1573.65,104.5940901,,,
3,,,3600,1474,1584.3,117.27884,,,
4,,,3600,1489,1598.6,120.5135502,,,
5,,,3600,1641,1631.55,169.2181635,,,
6,,,3600,1771,1626.15,170.6181563,,,
7,,,3600,1547,1615.05,167.898301,,,
8,,,3600,1482,2023,1816.097377,,,
9,,,3600,1652,2029.95,1814.183025,,,
10,,,3600,1531,2040.1,1812.524291,,,
11,,,3600,1563,2041.4,1812.149215,,,
12,,,3600,1445,2047.65,1810.62732,,,
13,,,3600,1515,2053.6,1808.737227,,,
14,,,3600,1651,2056.55,1807.860453,,,
15,,,3600,1471,2049.85,1809.68992,,,
16,,,3600,1563,2056.95,1807.576699,,,
17,,,3600,1744,2055.6,1807.975064,,,
18,,,3600,1752,2053.85,1808.309454,,,
19,,,3600,1484,2049.25,1809.234496,,,
20,,,3600,1443,2055.75,1807.329372,,,
1,,,3700,1657,2082.95,1801.707041,,,
2,,,3700,1811,2090.65,1800.119215,,,
3,,,3700,1760,2084.75,1801.277029,,,
4,,,3700,2148,2077.15,1803.039138,,,
5,,,3700,1533,2076.35,1803.009597,,,
6,,,3700,1549,2080.6,1801.761168,,,
7,,,3700,9706,2080.1,1801.917835,,,
8,,,3700,1621,1671.35,161.7142623,,,
9,,,3700,1855,1678.7,162.6433295,,,
10,,,3700,1557,1669.7,157.2654812,,,
